product_id,name,category,price
1,Almond Flour Bread Mix,Beauty,4.89
2,Rechargeable Electric Toothbrush,Clothing,49.99
3,Bike Helmet,Garden,34.99
4,DIY Organic Gardening Kit,Toys,39.99
5,First Aid Kit,Health,29.99
6,Fitness Mat,Computers,49.99
7,Vegetable Lasagna,Clothing,6.99
8,Sesame Garlic Stir-Fry Sauce,Clothing,2.79
9,Miso Soup Starter,Games,2.99
10,Voice-Controlled Speaker,Grocery,99.99
11,Reusable Silicone Food Storage Bags,Toys,19.99
12,Gardening Tools Set,Toys,45
13,Samsung Galaxy Smartwatch,Shoes,249.99
14,Kombucha Drink,Clothing,3.49
15,Sesame Garlic Stir-Fry Sauce,Health,2.79
16,Digital Alarm Clock,Kids,19.99
17,Multi-Function Meat Tenderizer,Books,19.99
18,Beach Cover-Up,Garden,29.99
19,Chunky Knit Sweater,Electronics,59.99
20,Graphic Tee,Games,19.99
21,Balsamic Glaze,Sports,4.79
22,DIY Lip Balm Kit,Games,22.99
23,Kids Tablet,Baby,129.99
24,Coloring Books for Adults,Automotive,14.99
25,Frozen Salmon Filets,Books,12.99
26,Thai Red Curry Paste,Clothing,3.99
27,Cucumber,Grocery,0.99
28,Buffalo Wing Sauce,Automotive,3.99
29,Sooji (Semolina),Sports,1.99
30,Italian Marinara Sauce,Games,3.29
31,Essential Oils Diffuser Necklace,Beauty,19.99
32,Creamy Tomato Basil Soup,Grocery,3.29
33,Multicolored LED Strip Lights,Outdoors,29.99
34,Mini Air Purifier,Games,49.99
35,Travel Mug,Home,18.99
36,Kids' STEM Robotics Kit,Automotive,59.99
37,French Bread,Health,2.49
38,Folding Table,Books,59.99
39,Raspberry Limeade,Health,1.99
40,Emergency Preparedness Kit,Movies,99.99
41,Casual Cropped Sweater,Computers,39.99
42,Roasted Red Pepper Sauce,Music,3.29
43,Honey Mustard Chicken Breasts,Games,8.99
44,Adjustable Skipping Rope,Industrial,12.99
45,Almond Crunch Granola Bars,Movies,3.49
46,LED Christmas Tree Lights,Computers,34.99
47,Rechargeable Battery Organizer,Tools,17.99
48,Smartphone Hand Grip,Computers,9.99
49,Oven-Baked Parmesan Zucchini,Health,4.99
50,Drone,Industrial,249.99
51,Thai Peanut Noodles,Automotive,4.99
52,Low-Fat Cottage Cheese,Electronics,2.99
53,Set of Decorative Storage Bins,Home,34.99
54,Eco-Friendly Yoga Mat,Grocery,39.99
55,Mediterranean Chickpea Salad,Music,5.99
56,Teriyaki Salmon Fillets,Shoes,9.99
57,Grass Fed Beef Patties,Movies,9.99
58,Outdoor String Lights,Games,24.99
59,Puzzle 3D Model Kit,Kids,22.99
60,Thermostatic Shower Valve Kit,Industrial,39.99
61,Non-Stick Crepe Pan,Music,29.99
62,Fitbit Activity Tracker,Shoes,99.99
63,Cinnamon Roll Protein Bar,Automotive,2.99
64,Canned Sardines,Health,3.29
65,Kettle Chip Variety Pack,Kids,3.99
66,Classic Black Trousers,Movies,54.99
67,Art Supplies Organizer,Movies,18.99
68,Green Smoothie Mix,Jewelry,5.99
69,Ceramic Knife Set,Outdoors,39.99
70,Honey Almond Granola Bars,Clothing,3.99
71,Chocolate Mint Protein Shake,Industrial,3.99
72,Chili Lime Shrimp,Clothing,8.99
73,Pasta (Linguine),Tools,1.89
74,Smartphone Tripod with Bluetooth Remote,Grocery,29.99
75,Whole Wheat Bread,Grocery,2.49
76,Insulated Sport Tumbler,Health,22.99
77,Vegetable Lentil Soup,Games,3.49
78,Warm Wool Sweater,Home,59.99
79,Herb Drying Rack,Automotive,22.99
80,Weighted Jump Rope with Counter,Shoes,14.99
81,Chocolate Chip Muffins,Games,3.99
82,Sliced Provolone Cheese,Health,3.99
83,Frozen Cauliflower Rice,Automotive,2.99
84,Hummus,Electronics,4.29
85,Cereal Dispenser with Portion Control,Movies,24.99
86,Water-Resistant Bluetooth Speaker,Garden,59.99
87,Blackberry Compote,Outdoors,5.29
88,Cinnamon Rolls,Games,4.49
89,Laptop Sleeve,Sports,24.99
90,Wall Decals for Kids,Industrial,24.99
91,Pepperoni Pizza Roll-Ups,Toys,5.99
92,Fashionable Belt Bag,Outdoors,34.99
93,Teriyaki Salmon Fillets,Home,9.99
94,Brussels Sprouts,Tools,3.49
95,Vegetarian Sausage Links,Toys,5.89
96,Thai Peanut Dressing,Movies,3.29
97,Ripped Boyfriend Jeans,Shoes,54.99
98,Vegan Tacos,Garden,7.49
99,Robot Vacuum Cleaner,Beauty,299.99
100,Vegetable Lentil Soup,Clothing,3.49
101,Organic Whole Wheat Flour,Computers,2.99
102,Slingback Sandals,Shoes,29.99
103,Electric Food Slicer,Music,99.99
104,Cranberry Almond Cookies,Sports,4.29
105,Sliced Strawberries,Tools,4.99
106,Roasted Garlic Butter,Games,3.29
107,Compact Electric Kettle,Kids,29.99
108,Rainbow Veggie Chips,Clothing,3.29
109,Teriyaki Sauce,Movies,2.99
110,Spicy Thai Coconut Soup,Garden,3.99
111,Portable Grill Cover,Industrial,24.99
112,Cranberry Almond Biscotti,Garden,4.19
113,Stainless Steel Travel Mug,Clothing,19.99
114,Pasta Primavera Kit,Kids,7.49
115,Quinoa and Kale Salad Kit,Computers,5.29
116,Cheddar Cheese Slices,Home,3.49
117,Gardening Tool Belt,Books,22.99
118,Wireless Charging Station,Jewelry,39.99
119,USB Wall Charger,Industrial,19.99
120,Electric Screwdriver,Computers,59.99
121,Multifunctional Pocket Tool,Books,19.99
122,Honey,Garden,5.49
123,Honey,Garden,5.49
124,Electric Bike,Outdoors,899.99
125,Roasted Garlic Pasta Sauce,Jewelry,4.99
126,Fleece Throw Blanket,Games,29.99
127,Insulated Coffee Mug,Electronics,24.99
128,Halloween Decoration Set,Jewelry,29.99
129,Matcha Green Tea Powder,Beauty,14.99
130,Bike Helmet,Baby,34.99
131,Cinnamon Roll Protein Bar,Health,2.99
132,Graphic Tee,Games,19.99
133,Mini Air Purifier,Beauty,49.99
134,Halloween Decoration Set,Industrial,29.99
135,Smashed Avocado with Lime,Health,2.49
136,Kids' STEM Robotics Kit,Beauty,59.99
137,Spinach Pizza Rolls,Baby,4.99
138,Solar Power Bank,Tools,39.99
139,Chicken Parmesan Dinner Kit,Garden,14.99
140,Car Emergency Kit,Health,49.99
141,Adjustable Standing Desk,Shoes,299.99
142,Sliced Provolone Cheese,Baby,3.99
143,Herbal Tea Set,Garden,19.99
144,Fresh Basil Pesto,Health,4.79
145,Kids' Gardening Kit,Music,24.99
146,Spinach and Feta Wraps,Shoes,4.99
147,Pet Food Storage Container,Home,24.99
148,Coconut Bowls Set,Electronics,22.99
149,Peach & Mango Salsa,Industrial,4.49
150,Teriyaki Stir-Fry Sauce,Grocery,3.49
151,Chopping Board,Music,29.99
152,Breathable Face Mask Set,Shoes,14.99
153,Baking Soda,Tools,0.99
154,Chicken Fajita Kit,Health,8.99
155,Pressure Cooker,Industrial,89
156,Wine Glasses,Health,29.99
157,Chocolate Avocado Pudding,Outdoors,4.99
158,Red Lentil Pasta,Health,3.99
159,Beef Stew Meat,Beauty,5.99
160,Yoga Mat Carrier,Toys,12.99
161,Stainless Steel Grater,Jewelry,14.99
162,Yoga Mat Carrier,Music,12.99
163,Italian Marinara Sauce,Electronics,3.29
164,Fresh Basil Pesto,Kids,4.79
165,Jasmine Rice,Music,2.39
166,Sliced Olives,Shoes,1.99
167,Sparkling Blood Orange Soda,Jewelry,1.99
168,Pesto Pasta Salad,Games,4.99
169,Chocolate Dipped Fruit,Grocery,5.99
170,Non-Toxic Concrete Sealer,Jewelry,39.99
171,Travel Luggage Scale,Grocery,14.99
172,Wireless Keyboard and Mouse Combo,Books,34.99
173,Creamy Tomato Basil Soup,Automotive,3.29
174,Rolling Cooler,Computers,59.99
175,Weighted Blanket,Industrial,79.99
176,Multifunctional Pocket Tool,Tools,19.99
177,Underwater Camera,Tools,199.99
178,LED Makeup Mirror,Toys,39.99
179,Smart Wi-Fi Camera,Music,89.99
180,Peach Slices (canned),Health,2.49
181,Peach Yogurt,Kids,1.29
182,Ready-to-Eat Chili,Health,2.99
183,Camping Tarp,Outdoors,32.99
184,Savory Trail Mix,Tools,4.29
185,Coconut Chia Pudding,Games,3.49
186,Wireless Range Extender,Beauty,49.99
187,Pet Grooming Kit,Baby,39.99
188,Wooden Toy Train Set,Music,29.99
